season,lg,player,player_id,age,team,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl
2025,NBA,Miles Bridges,bridgmi02,26.0,CHO,PF,64,64.0,2029.0,469,1089,0.431,141.0,450.0,0.313,328.0,639.0,0.513,0.495,221,254,0.87,72.0,409.0,481.0,248,44.0,45.0,136.0,93.0,1300,1.0
2025,NBA,Oshae Brissett,brissos01,26.0,PHI,SF,6,2.0,142.0,19,39,0.487,6.0,18.0,0.333,13.0,21.0,0.619,0.564,8,14,0.571,7.0,15.0,22.0,4,4.0,3.0,8.0,14.0,52,0.0
2025,NBA,Malcolm Brogdon,brogdma01,32.0,WAS,PG,24,13.0,564.0,104,240,0.433,16.0,56.0,0.286,88.0,184.0,0.478,0.467,81,92,0.88,21.0,70.0,91.0,98,13.0,5.0,38.0,30.0,305,0.0
2025,NBA,Dillon Brooks,brookdi01,29.0,HOU,SF,75,75.0,2388.0,384,895,0.429,186.0,469.0,0.397,198.0,426.0,0.465,0.533,99,121,0.818,75.0,200.0,275.0,128,60.0,16.0,76.0,242.0,1053,0.0
2025,NBA,Keion Brooks Jr.,brookke02,24.0,NOP,SF,14,6.0,332.0,53,109,0.486,14.0,43.0,0.326,39.0,66.0,0.591,0.55,22,30,0.733,12.0,46.0,58.0,13,10.0,10.0,12.0,30.0,142,0.0
2025,NBA,Bruce Brown,brownbr01,28.0,2TM,PG,41,12.0,922.0,130,309,0.421,27.0,81.0,0.333,103.0,228.0,0.452,0.464,53,65,0.815,40.0,124.0,164.0,84,34.0,10.0,39.0,71.0,340,0.0
2025,NBA,Bruce Brown,brownbr01,28.0,TOR,PG,18,0.0,353.0,57,131,0.435,11.0,36.0,0.306,46.0,95.0,0.484,0.477,26,29,0.897,17.0,51.0,68.0,28,17.0,3.0,19.0,26.0,151,0.0
2025,NBA,Bruce Brown,brownbr01,28.0,NOP,PG,23,12.0,569.0,73,178,0.41,16.0,45.0,0.356,57.0,133.0,0.429,0.455,27,36,0.75,23.0,73.0,96.0,56,17.0,7.0,20.0,45.0,189,0.0
2025,NBA,Jaylen Brown,brownja02,28.0,BOS,SF,63,63.0,2158.0,518,1118,0.463,116.0,358.0,0.324,402.0,760.0,0.529,0.515,246,322,0.764,82.0,286.0,368.0,286,73.0,19.0,162.0,154.0,1398,0.0
2025,NBA,Kobe Brown,brownko01,25.0,LAC,PF,40,0.0,272.0,33,72,0.458,6.0,26.0,0.231,27.0,46.0,0.587,0.5,5,7,0.714,19.0,46.0,65.0,24,7.0,4.0,12.0,23.0,77,0.0
